uf,gname,tipo,att,se,p_value,n_obs,n_treated,n_control,significant
AL,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
AM,2009,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
BA,2007,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
ES,2009,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
GO,2007,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
MA,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
MG,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
MS,2005,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
MT,2006,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
PE,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
PI,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
PR,2007,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
RJ,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
SE,2010,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
SP,2009,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
TO,2008,UF,0.4054177728668435,0.017105856290574355,3.5610321175872726e-124,339,301,38,TRUE
